INDICATIVO;AÑO;MES;ALTITUD;C_X;C_Y;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;P13;P14;P15;P16;P17;P18;P19;P20;P21;P22;P23;P24;P25;P26;P27;P28;P29;P30;P31
7096B;2023;7;605;613027;4266745;0;0;0;0;0;46;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;7;0;0;9;1;0;0;0;0
7102;2023;7;670;630156;4274922;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;6;0;0;0;0;0
7103;2023;7;625;613674;4272049;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7103Y;2023;7;615;614141;4271879;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;0;2;0;0;0;0;0
7104;2023;7;580;628633;4270364;0;0;0;0;0;38;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
7113;2023;7;1150;578851;4225636;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0
7114C;2023;7;710;597290;4226145;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;-3;20;0;0;0;0;0;0;0;0;0;0;0
7116;2023;7;390;614784;4236640;0;0;0;0;0;0;0;2;0;0;41;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0
7118C;2023;7;881;587644;4213520;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7118D;2023;7;739;598026;4211512;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;0;0;0;0;0;0;0;0;0;0;0
7119A;2023;7;623;599265;4217785;0;0;0;0;0;0;0;-3;0;0;-3;0;0;0;0;0;0;0;-3;2;0;0;0;0;-3;0;0;0;0;0;0
7119B;2023;7;643;598441;4217783;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;0;0;0;0;0;0;0;0;0;0
7120C;2023;7;563;605682;4217064;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;13;4;0;1;0;0;0;2;0;0;0;0;0
7120E;2023;7;440;610630;4225792;0;0;0;0;0;0;0;0;0;0;-3;0;0;0;0;0;0;0;0;17;0;0;0;0;0;0;0;0;0;0;0
7121;2023;7;340;613754;4232124;0;0;-3;0;0;0;-3;2;0;0;60;0;0;0;0;0;0;0;7;23;0;0;0;0;0;0;-3;0;0;0;0
7121A;2023;7;350;613580;4232593;0;0;0;0;0;0;0;2;0;0;54;0;0;0;0;0;0;0;12;34;0;0;0;0;0;0;0;0;0;0;0
7123E;2023;7;1300;569086;4215068;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-4;30;0;0;0;0;0;0;0;0;0;0;0
7124D;2023;7;1060;576406;4200954;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7127;2023;7;604;613162;4213496;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7127X;2023;7;640;614477;4212074;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0
7129;2023;7;312;622719;4231114;0;0;0;0;0;0;0;0;0;0;70;0;0;0;0;0;0;0;0;46;0;0;0;0;0;-3;0;0;0;0;0
7131E;2023;7;195;632959;4232796;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0
7134;2023;7;340;631756;4243744;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;23;0;0;0;0;0;0;0;0;0;0;0
7138B;2023;7;485;645247;4258045;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0
7139E;2023;7;538;655438;4257681;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0
7145D;2023;7;265;641737;4232883;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;15;0;0;0;0;0;2;0;0;0;0;0
7154;2023;7;140;642013;4226681;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0
7156;2023;7;480;641612;4223128;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52;0;0;0;0;0;0;0;0;0;0;0
7156E;2023;7;270;642047;4219190;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28;109;0;0;0;0;0;0;0;0;0;0;0
7158X;2023;7;150;648489;4221379;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;50;0;0;0;0;0;0;0;0;0;0;0
7164;2023;7;100;656790;4213972;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0
7164I;2023;7;100;652960;4216675;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-3;22;0;0;0;0;0;-3;0;0;0;0;0
7168;2023;7;395;632540;4213541;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;300;0;0;0;0;0;0;0;0;0;0;0
7170;2023;7;381;631107;4205656;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33;300;0;0;0;0;0;0;0;0;0;0;0
7170C;2023;7;350;629432;4205105;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-3;278;0;0;0;0;0;0;0;0;0;0;0
7170E;2023;7;500;623188;4198442;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;110;0;0;0;0;0;0;0;0;0;0;0
7172X;2023;7;255;636087;4211543;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;174;0;0;0;0;0;0;0;0;0;0;0
7175;2023;7;150;644788;4211592;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-3;58;0;0;0;0;0;-3;0;0;0;0;0
7177;2023;7;220;645916;4204458;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7178I;2023;7;62;660598;4207610;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
7182;2023;7;57;664258;4206348;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7182D;2023;7;45;663963;4205303;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0
7185;2023;7;1110;579617;4171794;-3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-3;-3;-3;0;0;0;0;0;0;0;0;0
7194;2023;7;1190;573447;4174234;0;10;0;0;0;0;0;-3;0;0;0;0;0;0;0;0;0;0;0;0;-3;0;0;0;0;0;0;0;0;0;0
7195X;2023;7;985;582760;4198035;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
7198;2023;7;690;590892;4184364;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7201D;2023;7;850;604235;4200614;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7203A;2023;7;646;599446;4189189;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0
