	INDICATIVO	ANO	MES	ALTITUD	C_X	C_Y	P1	P2	P3	P4	P5	P6	P7	P8	P9	P10	P11	P12	P13	P14	P15	P16	P17	P18	P19	P20	P21	P22	P23	P24	P25	P26	P27	P28	P29	P30	P31
113	7250C	2023	7	174	672171	4229217	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	14.0	0	0	0	0	0	0	0	0	0	0	0
114	7253	2023	7	22	683394	4220458	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0
115	7255A	2023	7	280	689543	4236760	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	10.0	0	0	0	0	0	0	0	0	0	0	0
116	7256	2023	7	18	685879	4221532	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0
117	7256B	2023	7	13	688580	4219589	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0.0	0	2	0	0	0	0	0	0	0	0	0
118	7256F	2023	7	17	685100	4223642	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0
119	7258A	2023	7	110	692009	4235338	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	3.0	0	0	0	0	0	0	0	0	0	0	0
120	7259	2023	7	8	692356	4225816	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0
121	7259A	2023	7	4	693598	4228899	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	1	0	0	0	0	0
122	7261B	2023	7	9	693559	4220292	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0
123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0
124	7261X	2023	7	31	700365	4218051	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	12.0	0	0	0	0	0	0	0	0	0	0	0
125	7262	2023	7	26	705708	4217907	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	10.0	0	0	0	0	0	0	0	0	0	0	0
126	7263	2023	7	15	706665	4224378	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0
127	7275	2023	7	605	665085	4276585	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	3.0	7.0	0	0	0	0	0	0	0	0	0	0	0
128	7275C	2023	7	640	660249	4274181	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	12.0	0	0	0	0	0	0	0	0	0	0	0
129	8002	2023	7	816	703567	4287816	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0.0	10	0	0	0	0	0	0	0	0	0	0
130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0
131	8004	2023	7	628	693798	4279058	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0
132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0
133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0
134	8005X	2023	7	622	691463	4294672	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	4.0	6.0	0	2	0	0	0	0	0	0	0	0	0
135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0
136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0
